"PHIE","logk","VOL_WETCLAY","SWE","rocktype"
0.319591,3.4737,0.075778,0.1249,4
0.309635,3.3358,0.088138,0.1784,4
0.316202,3.4587,0.070506,0.1921,4
0.329201,3.6568,0.051405,0.1469,1
0.341224,3.858,0.032395,0.1046,1
0.346131,3.8967,0.033843,0.1069,2
0.33925,3.8116,0.037994,0.1186,2
0.340842,3.8488,0.033478,0.1273,2
0.342878,3.8384,0.039582,0.108,2
0.348769,3.9081,0.036533,0.0637,2
0.353114,3.9668,0.032854,0.0579,2
0.355369,3.994,0.031634,0.0541,2
0.356862,4.059,0.022588,0.0546,2
0.352586,3.9991,0.025989,0.0499,2
0.347765,3.9548,0.025894,0.0576,2
0.344986,3.933,0.025172,0.0516,2
0.345056,3.9348,0.024975,0.0468,2
0.348765,3.9807,0.023094,0.0495,2
0.355318,4.0716,0.018442,0.0481,2
0.357422,4.0961,0.017701,0.0465,2
0.354204,4.052,0.019831,0.049,2
0.344902,3.9024,0.030529,0.0489,2
0.33861,3.7892,0.041502,0.0922,2
0.341697,3.7834,0.049525,0.1942,2
0.348697,3.8479,0.049816,0.1286,2
0.347576,3.7544,0.071781,0.1298,2
0.343802,3.6803,0.083384,0.1314,2
0.345195,3.6955,0.082719,0.1697,2
0.354229,3.8885,0.052438,0.1719,2
0.353468,3.8926,0.049722,0.1515,2
0.344152,3.7508,0.063791,0.1415,2
0.342494,3.7303,0.065131,0.1609,2
0.350079,3.906,0.039527,0.146,2
0.352704,3.9573,0.033977,0.1382,2
0.345251,3.7907,0.055999,0.1397,2
0.322297,3.4138,0.10349,0.1655,4
0.294676,3.0383,0.141643,0.2567,4
0.269295,2.7447,0.154171,0.3407,4
0.251791,2.5425,0.159823,0.3867,4
0.242363,2.4055,0.174115,0.4219,4
0.243432,2.4139,0.17572,0.3509,4
0.251758,2.5626,0.151112,0.3361,4
0.254706,2.6563,0.126491,0.3482,4
0.253466,2.677,0.113699,0.2792,5
0.250195,2.6362,0.1155,0.2362,5
0.254157,2.7022,0.107393,0.2181,5
0.260582,2.7973,0.098632,0.1998,5
0.267281,2.8918,0.09113,0.174,5
0.271683,2.949,0.08776,0.1684,5
0.276875,3.0286,0.079948,0.1694,5
0.280022,3.0522,0.082785,0.1617,5
0.289595,3.1736,0.075946,0.163,5
0.299187,3.3199,0.06212,0.1837,5
0.306355,3.4515,0.047093,0.1783,4
0.295585,3.2756,0.064274,0.1452,4
0.287295,3.1501,0.075935,0.1829,4
0.283499,3.1264,0.071396,0.1916,4
0.283361,3.1235,0.071847,0.1895,5
0.28396,3.1234,0.073667,0.182,5
0.286414,3.1503,0.073195,0.1711,5
0.287529,3.1678,0.07146,0.156,5
0.291087,3.2182,0.067477,0.1414,5
0.291585,3.2291,0.065879,0.1352,5
0.29149,3.2407,0.062442,0.1338,5
0.292385,3.2535,0.061444,0.1306,5
0.293087,3.2621,0.06107,0.1121,3
0.297165,3.3174,0.057411,0.1007,3
0.29801,3.3149,0.060301,0.1009,3
0.295999,3.2457,0.07392,0.1272,3
0.302972,3.3612,0.061254,0.1425,3
0.300023,3.3048,0.068595,0.1185,1
0.304147,3.3939,0.055791,0.1112,1
0.303249,3.3883,0.054923,0.1098,1
0.308401,3.4599,0.049935,0.1049,1
0.312299,3.4954,0.050681,0.0983,1
0.314473,3.5,0.054814,0.0918,1
0.312869,3.4589,0.061394,0.0873,1
0.311759,3.4421,0.062973,0.0831,1
0.318223,3.6004,0.039946,0.0701,1
0.310514,3.4559,0.056108,0.0528,1
0.313637,3.5335,0.044807,0.06,1
0.327091,3.7478,0.027813,0.0512,1
0.326609,3.7257,0.031039,0.0549,1
0.326497,3.696,0.036713,0.0568,1
0.329235,3.7272,0.035725,0.0548,1
0.334071,3.8407,0.023344,0.0532,1
0.335068,3.8929,0.016847,0.0528,3
0.333969,3.8724,0.018278,0.0521,3
0.330684,3.7817,0.027934,0.0496,3
0.332272,3.8351,0.021473,0.0477,3
0.330005,3.8285,0.019151,0.0491,3
0.323101,3.6936,0.030698,0.0515,5
0.320036,3.6183,0.039892,0.0513,5
0.315455,3.5144,0.053636,0.0525,5
0.315654,3.5333,0.049484,0.0514,5
0.311515,3.4927,0.049464,0.0546,5
0.309808,3.5086,0.041924,0.0592,5
0.30475,3.4073,0.053919,0.0595,5
0.311539,3.5419,0.038422,0.0525,5
0.315355,3.6101,0.032229,0.0514,5
0.31617,3.5766,0.040733,0.051,5
0.322951,3.6068,0.048925,0.0546,5
0.341194,3.8486,0.034186,0.0691,5
0.35265,4.0544,0.017357,0.0556,5
0.347162,4.0038,0.017292,0.0508,5
0.334144,3.7932,0.031947,0.0529,3
0.324819,3.6486,0.043424,0.0505,3
0.327253,3.7325,0.030921,0.0465,3
0.319752,3.6116,0.040745,0.0499,3
0.317917,3.6101,0.037253,0.0525,3
0.315725,3.583,0.038447,0.054,3
0.318308,3.6576,0.028736,0.0491,5
0.319615,3.7041,0.022892,0.0483,5
0.311746,3.547,0.037783,0.0544,5
0.305487,3.4392,0.047948,0.0481,5
0.304061,3.3779,0.059696,0.0476,5
0.314938,3.5102,0.053418,0.0475,5
